Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,10936010,no encontrada,no encontrada,626.9003,no encontrada,no encontrada,979294.23
Tenerife,10936011,28° 29' 29'',- 16° 21' 44'',627.6065,no encontrada,no encontrada,979294.02
Tenerife,10936012,"28° 29' 32,3900''","- 16° 22' 00,4000''",618.2933,663346,0.05,979297.12
Tenerife,10936013,"28° 29' 32,2800''","- 16° 22' 23,9800''",610.9643,655970,0.05,979298.68
Tenerife,10936014,28° 29' 32'',- 16° 22' 43'',606.0127,652,no encontrada,979299.02
Tenerife,10936015,"28° 29' 17,8''","- 16° 22' 56,1''",595.8862,641,no encontrada,979300.82
Tenerife,10936016,"28° 29' 16,4''","- 16° 22' 59,8''",589.3885,636,no encontrada,979301.89
Tenerife,10936017,"28° 29' 14,2000''","- 16° 23' 14,6700''",581.5508,626689,0.05,979302.45
Tenerife,10936018,"28° 29' 03,9000''","- 16° 23' 25,4700''",592.6590,637849,0.05,979299.07
Tenerife,10936019,28° 28' 50'',- 16° 23' 52'',587.1230,no encontrada,no encontrada,979297.45
Tenerife,10936020,28° 28' 45'',- 16° 23' 60'',588.7271,no encontrada,no encontrada,979295.56
Tenerife,10936021,28° 28' 39'',- 16° 24' 09'',582.1926,no encontrada,no encontrada,979295.89
Tenerife,10936022,28° 28' 34'',- 16° 24' 31'',576.7825,620,no encontrada,979294.97
Tenerife,10936023,28° 28' 34'',- 16° 24' 43'',551.1386,no encontrada,no encontrada,979297.57
