id,AB (mGal),Longitud,Latitud
766,131.000000,-28.336,38.449
767,131.000000,-28.322,38.459
768,131.000000,-28.354,38.428
769,131.000000,-28.351,38.428
770,131.000000,-28.348,38.427
771,131.000000,-28.344,38.426
772,131.000000,-28.339,38.425
773,131.000000,-28.334,38.425
774,131.000000,-28.357,38.430
775,131.000000,-28.360,38.433
776,131.000000,-28.361,38.436
777,131.000000,-28.363,38.438
778,131.000000,-28.365,38.442
779,131.000000,-28.367,38.446
780,131.000000,-28.365,38.451
781,131.000000,-28.363,38.454
782,131.000000,-28.360,38.456
783,131.000000,-28.356,38.458
784,131.000000,-28.352,38.458
785,131.000000,-28.345,38.460
786,131.000000,-28.341,38.463
787,131.000000,-28.337,38.466
788,131.000000,-28.331,38.467
789,131.000000,-28.327,38.467
790,131.000000,-28.324,38.468
791,131.000000,-28.319,38.468
792,131.000000,-28.316,38.470
793,131.000000,-28.312,38.472
794,131.000000,-28.309,38.475
795,131.000000,-28.413,38.438
796,131.000000,-28.412,38.442
797,131.000000,-28.412,38.446
798,131.000000,-28.430,38.443
799,131.000000,-28.425,38.447
800,131.000000,-28.419,38.447
801,131.000000,-28.415,38.447
802,131.000000,-28.430,38.440
803,131.000000,-28.428,38.438
804,131.000000,-28.424,38.437
805,131.000000,-28.420,38.437
806,131.000000,-28.416,38.437
807,131.000000,-28.131,38.448
808,131.000000,-28.131,38.445
809,131.000000,-28.131,38.441
810,131.000000,-28.130,38.438
811,131.000000,-28.127,38.435
812,131.000000,-28.125,38.433
813,131.000000,-28.123,38.431
814,131.000000,-28.120,38.429
815,131.000000,-28.118,38.427
816,131.000000,-28.115,38.425
817,131.000000,-28.112,38.423
818,131.000000,-28.109,38.421
819,131.000000,-28.107,38.418
820,131.000000,-28.104,38.416
821,131.000000,-28.102,38.415
822,131.000000,-28.098,38.413
823,131.000000,-28.095,38.411
824,131.000000,-28.093,38.410
825,131.000000,-28.090,38.407
826,131.000000,-28.088,38.405
827,131.000000,-28.086,38.403
828,131.000000,-28.084,38.400
828,132.000000,-28.134,38.448
829,132.000000,-28.135,38.446
830,132.000000,-28.135,38.442
831,132.000000,-28.134,38.440
832,132.000000,-28.132,38.437
833,132.000000,-28.131,38.434
834,132.000000,-28.128,38.432
835,132.000000,-28.126,38.429
836,132.000000,-28.124,38.427
837,132.000000,-28.121,38.425
838,132.000000,-28.118,38.423
839,132.000000,-28.115,38.420
840,132.000000,-28.112,38.418
841,132.000000,-28.108,38.415
842,132.000000,-28.105,38.413
843,132.000000,-28.102,38.412
844,132.000000,-28.099,38.410
845,132.000000,-28.097,38.409
846,132.000000,-28.094,38.407
847,132.000000,-28.091,38.405
848,132.000000,-28.090,38.402
849,132.000000,-28.088,38.400
702,131.000000,-28.267,38.459
850,132.000000,-28.219,38.478
