Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal
-155.785267,20.209551,295.0,978827.38,978557.9454825231,269.4345174769405,237.27420747694052,247.15447917147114
-155.81728,20.218884,294.1,978821.63,978558.7692875665,262.8607124334667,230.7985186334667,241.08764108307184
-155.865269,20.206385,253.6,978818.06,978570.5399798688,247.52002013125457,219.87305533125456,227.95686877566823
-155.848607,20.183553,421.5,978791.0,978517.3782356302,273.6217643697746,227.6706773697746,237.5329262142979
-155.830266,20.179888,599.2,978769.25,978462.3164081362,306.93359186383896,241.61000626383895,252.56262857079457
-155.838933,20.213552,389.5,978800.5,978529.0094836085,271.4905163914664,229.02800539146637,240.6607008361707
-155.816442,20.161889,717.8,978751.25,978424.6615480359,326.5884519640822,248.3353315640822,260.9674490368322
-155.800939,20.164886,768.4,978747.69,978409.2203604036,338.4696395962965,254.7002083962965,266.4841895098581
-155.805608,20.146888,815.9,978734.31,978393.5108438018,340.79915619827807,251.85136999827807,264.4225294226496
-155.788611,20.116723,946.4,978709.38,978351.4797854945,357.9002145054983,254.7255793054983,268.6986572781089
-155.779776,20.101556,977.5,978704.19,978340.9991956851,363.1908043147996,256.6257093147996,272.4318997760316
-155.767616,20.089558,1079.0,978687.56,978308.9799564302,378.5800435699057,260.9496215699057,279.1548639348189
-155.762108,20.076892,1064.7,978691.56,978312.6555141868,378.9044858132256,262.8330212132256,279.7322034220071
-155.73478,20.046892,963.5,978726.06,978342.1397654341,383.92023456597235,278.88139156597236,293.66433606940404
-155.698937,20.026894,735.8,978777.5,978411.2476712981,366.2523287018994,286.03688430189936,297.0397245991441
-155.723946,20.026895,631.9,978790.88,978443.3142767805,347.5657232195372,278.67724901953716,289.5701382347462
-155.757607,20.023894,476.1,978808.06,978491.2274054261,316.83259457396343,264.92912477396345,274.59146734173135
-155.774773,20.021895,359.1,978824.0,978527.2254946715,296.77450532850344,257.6261415285034,266.93894763943365
